,Symptom,Symptom Name,HPO,Matched Term,Unmatched Terms,Curated HPO,Curated Term,Potential Alt HPO,Potential Alt Term
207,PELHS Visual impairment (other than refractive errors),PELHS Visual impairment (other than refractive errors),HP:0000505,Visual impairment,,HP:0000505,Visual impairment,,
208,PELHS Macrocephaly (>95th percentile),PELHS Macrocephaly (>95th percentile),HP:0000256,Macrocephaly,,HP:0000256,Macrocephaly,,
209,PELHS Microcephaly (<5th percentile),PELHS Microcephaly (<5th percentile),HP:0000252,Microcephaly,,HP:0000252,Microcephaly,,
210,PELHS Other abnormal head shape,PELHS Other abnormal head shape,"HP:0000234,HP:0000267","Abnormality of the head,Cranial asymmetry",,HP:0000267,Cranial asymmetry ,,
211,PELHS G-Tube/NG-Tube,PELHS G-Tube/NG-Tube,,,pelhs g-tube/ng-tube,HP:0033454,Tube feeding,,
212,PELHS Tracheostomy,PELHS Tracheostomy,,,pelhs tracheostomy,HP:0004887,Respiratory failure requiring assisted ventilation,,
213,PELHS VP shunt,PELHS VP shunt,,,pelhs vp shunt, HP:0000238,Hydrocephalus ,,
214,PELHS Wheelchair,PELHS Wheelchair,,,pelhs wheelchair,HP:0002374,Diminished movement,,
215,CSHQ Subscale 1: Bedtime Resistance,CSHQ Subscale 1: Bedtime Resistance,,,cshq subscale 1: bedtime resistance,HP:0002360,Sleep disturbance,,
216,CSHQ Subscale 2: Sleep onset Delay,CSHQ Subscale 2: Sleep onset Delay,,,cshq subscale 2: sleep onset delay,HP:0031354,Sleep onset insomnia,,
217,CSHQ Subscale 3: Sleep Duration,CSHQ Subscale 3: Sleep Duration,,,cshq subscale 3: sleep duration,HP:0002360,Sleep disturbance,,
218,CSHQ Subscale 4: Sleep Anxiety,CSHQ Subscale 4: Sleep Anxiety,HP:0000739,Anxiety,,HP:0002360,Sleep disturbance,,
219,CSHQ Subscale 5: Night Wakings,CSHQ Subscale 5: Night Wakings,,,cshq subscale 5: night wakings,HP:0025236,Somnambulism,,
220,CSHQ Subscale 6: Parasomnias,CSHQ Subscale 6: Parasomnias,HP:0025234,Parasomnia,,HP:0025234,Parasomnia,,
221,CSHQ Subscale 7: Sleep Disordered Breathing,CSHQ Subscale 7: Sleep Disordered Breathing,HP:0002791,Hypoventilation,,HP:0010535,Sleep apnea,,
222,CSHQ Subscale 8: Daytime Sleepiness,CSHQ Subscale 8: Daytime Sleepiness,HP:0002329,Drowsiness,,HP:0002329,Drowsiness,,
